id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
123180,UCSB,IZC,,PreservedSpecimen,0bf65412-36e8-4aec-9e8e-e0a19f98c947,UCSB-IZC00026922,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Howarth,,,,12/3/1998,1998,12,3,337,,3-Dec-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:0bf65412-36e8-4aec-9e8e-e0a19f98c947,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123180
123181,UCSB,IZC,,PreservedSpecimen,07e0c1a8-844b-49da-a88e-29d87b890994,UCSB-IZC00026618,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2018,,,,,,Howarth,,,,12/3/1998,1998,12,3,337,,3-Dec-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:07e0c1a8-844b-49da-a88e-29d87b890994,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123181
123182,UCSB,IZC,,PreservedSpecimen,d1a9b936-fb7a-4fb9-991c-301645eaea29,UCSB-IZC00026599,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2019,,,,,,Howarth,,,,12/3/1998,1998,12,3,337,,3-Dec-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:d1a9b936-fb7a-4fb9-991c-301645eaea29,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123182
123183,UCSB,IZC,,PreservedSpecimen,c58cf04e-dcab-4fe5-8cd6-b4879a45f562,UCSB-IZC00026600,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2019,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:c58cf04e-dcab-4fe5-8cd6-b4879a45f562,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123183
123184,UCSB,IZC,,PreservedSpecimen,f4b20dc3-e5b7-432c-bb14-26a110e5d336,UCSB-IZC00026915,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2019,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:f4b20dc3-e5b7-432c-bb14-26a110e5d336,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123184
123185,UCSB,IZC,,PreservedSpecimen,0de8ea80-83f3-4dba-ae84-c39ff0570151,UCSB-IZC00026891,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2019,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:0de8ea80-83f3-4dba-ae84-c39ff0570151,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123185
123186,UCSB,IZC,,PreservedSpecimen,d6d1bd5f-f4c0-4f3d-8aa3-52d5856a6780,UCSB-IZC00026901,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2019,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:d6d1bd5f-f4c0-4f3d-8aa3-52d5856a6780,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123186
123187,UCSB,IZC,,PreservedSpecimen,d717db08-7090-45b0-977f-4c602a3a5027,UCSB-IZC00026603,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2019,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:d717db08-7090-45b0-977f-4c602a3a5027,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123187
123188,UCSB,IZC,,PreservedSpecimen,22cc3f7e-c4aa-406c-8ab1-ae0a3db07ba1,UCSB-IZC00026905,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2019,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:22cc3f7e-c4aa-406c-8ab1-ae0a3db07ba1,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123188
123189,UCSB,IZC,,PreservedSpecimen,7289c695-f811-43c4-81b5-e1406850c24d,UCSB-IZC00002746,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2019,,,,,,Emily Hebard,,,,11/30/1998,1998,11,30,334,,30-Nov-98,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:7289c695-f811-43c4-81b5-e1406850c24d,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123189
123190,UCSB,IZC,,PreservedSpecimen,afb1d35a-3d18-47a0-a23b-91101707cb98,UCSB-IZC00026588,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,2918,"Westwood, 1839",Pheidole,,,,Elaine Tan,2019,,,,,,Emily Hebard,,Heller,,4/16/1999,1999,4,16,106,,16-Apr-99,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,,Santa Cruz Island,,,,34.016667,-119.716667,,21144,,entan (2019-02-20 12:06:50),,georef batch tool 2019-02-20; GeoLocate,reviewed - high confidence,,,,,,,,,,entan,2/20/2019 11:06,,1,urn:uuid:afb1d35a-3d18-47a0-a23b-91101707cb98,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=123190
